gene_name	CN_high	n_cells_high	median_SCT_count_high	mean_SCT_count_high	CN_low	n_cells_low	median_SCT_count_low	mean_SCT_count_low	mean_expected_high	log10_abs_diff	highlight
RPS15A	4	16	920.5	854.8125	3	73	915	1018.98630136986	1358.64840182648	2.7022891107794	FALSE
HSP90AA1	5	17	2110	2901.29411764706	3	54	1068	1439.53703703704	2399.22839506173	2.70076057190172	FALSE
RPS29	4	24	1481	1552.875	3	47	727	789.085106382979	1052.1134751773	2.69963095319139	FALSE
YWHAZ	7	11	857	777.727272727273	5	45	997	907.533333333333	1270.54666666667	2.69268779029908	FALSE
RPS27A	3	83	2455	2421.09638554217	2	38	1744.5	1933.18421052632	2899.77631578947	2.68004521907257	FALSE
RPL31	4	90	3967.5	3805.48888888889	3	10	2423.5	2519	3358.66666666667	2.65013476414924	FALSE
MYL12A	6	58	664.5	816.241379310345	4	33	741	837	1255.5	2.6427202935167	FALSE
RPL30	7	11	1969	2076.18181818182	5	45	1690	1791.28888888889	2507.80444444444	2.63510420293266	FALSE
HMGB1	3	41	559	719.243902439024	1	10	419	383.6	1150.8	2.63503725724163	FALSE
SF3B6	4	11	205	356.454545454545	2	36	328	392.472222222222	784.944444444444	2.6319405885354	FALSE
CCT8	3	11	5	46	1	14	0.5	155.428571428571	466.285714285714	2.62354462837725	FALSE
MYL12A	5	34	594	636.323529411765	4	33	741	837	1046.25	2.61270596334998	FALSE
PDIA3	5	16	1681.5	1631.0625	3	59	661	732.830508474576	1221.38418079096	2.61244298104608	FALSE
HSPH1	3	41	196	312.243902439024	1	10	239	240.1	720.3	2.61071987188022	FALSE
RPS23	3	20	1429.5	1677.4	2	96	882.5	847.489583333333	1271.234375	2.60870316499559	FALSE
RSL1D1	4	16	330.5	440.6875	2	41	405	423.390243902439	846.780487804878	2.60862549039144	FALSE
DDIT4	2	95	385	741.926315789474	1	35	1	169.828571428571	339.657142857143	2.6045167525853	FALSE
YWHAQ	4	11	31	71.7272727272727	2	36	166	235.527777777778	471.055555555556	2.60133007062826	FALSE
SRP14	4	50	1137	1138.62	3	59	1095	1153.35593220339	1537.80790960452	2.60117737912947	FALSE
PABPC1	7	11	1462	1607	5	45	814	866.622222222222	1213.27111111111	2.59519728124882	FALSE
GPC3	2	34	512.5	556.764705882353	1	95	0	81.9157894736842	163.831578947368	2.59431864433381	FALSE
RPL21	3	41	1981	2161.75609756098	2	74	1585	1701.13513513514	2551.7027027027	2.5910051437448	FALSE
S100A4	6	19	696	818.315789473684	3	43	81	214.348837209302	428.697674418605	2.59063914093134	FALSE
MRPS21	8	20	723.5	766.1	3	52	380	433.153846153846	1155.07692307692	2.5899238366017	FALSE
SSR4	2	33	315	326	1	95	232	357.242105263158	714.484210526316	2.58937337211854	FALSE
EIF3E	6	70	1928.5	1877.44285714286	5	45	1941	1887.57777777778	2265.09333333333	2.5884403217939	FALSE
PSMB4	7	13	177	199.615384615385	3	52	174	251.596153846154	587.057692307692	2.58820704280043	FALSE
TSC22D1	2	74	374.5	734.445945945946	1	10	283.5	559.9	1119.8	2.58585993226985	FALSE
GOLGA8B	5	16	92.5	162.5	4	50	74	437.92	547.4	2.58534791109459	FALSE
TSC22D1	3	41	314	720	2	74	374.5	734.445945945946	1101.66891891892	2.58168679476281	FALSE
EIF5	5	17	403	569.764705882353	3	54	33	117.111111111111	195.185185185185	2.57354402960265	FALSE
TMED10	5	16	729.5	759.3125	2	32	408	453.46875	1133.671875	2.57328871354202	FALSE
TMED10	3	40	241.5	308.675	2	32	408	453.46875	680.203125	2.56999169580848	FALSE
RPS23	3	20	1429.5	1677.4	1	14	430	436.785714285714	1310.35714285714	2.56471677687872	FALSE
RPS7	4	11	1172	887.090909090909	3	83	996	939.795180722892	1253.06024096386	2.56344469316381	FALSE
LMNA	6	19	204	340.263157894737	4	47	336	465.085106382979	697.627659574468	2.55311141025613	FALSE
PIK3R1	3	20	275	373.1	1	14	0	5.85714285714286	17.5714285714286	2.55087450778074	FALSE
TMED10	4	41	417	552.780487804878	2	32	408	453.46875	906.9375	2.54919584511083	FALSE
CRABP2	6	19	1804	1887.73684210526	4	47	1230	1494.55319148936	2241.82978723404	2.54911727405502	FALSE
SLIRP	5	16	334.5	419.4375	2	32	291	309.15625	772.890625	2.54833182576039	FALSE
RPS17	5	16	739	843.625	3	71	281	294.802816901408	491.338028169014	2.54689658253255	FALSE
RAD21	7	23	207	266.695652173913	5	24	236	439.416666666667	615.183333333333	2.54218743064337	FALSE
PPIB	4	53	456	510.905660377359	3	56	602	644.285714285714	859.047619047619	2.5417563683599	FALSE
RPL34	3	85	2356	2429	2	41	1911	1849.17073170732	2773.75609756098	2.5375119561058	FALSE
LUC7L3	2	96	213	682.729166666667	1	34	77.5	169.029411764706	338.058823529412	2.53740391652097	FALSE
TNMD	2	34	106.5	433.117647058824	1	95	149	388.768421052632	777.536842105263	2.53708734739964	FALSE
HADHA	4	11	163	419.909090909091	3	83	0	61.4578313253012	81.9437751004016	2.52887213244982	FALSE
RPS29	4	24	1481	1552.875	2	57	853	944.280701754386	1888.56140350877	2.52593375113572	FALSE
DPT	6	19	334	570.842105263158	3	43	0	117.674418604651	235.348837209302	2.52568381011933	FALSE
OST4	4	11	236	198.090909090909	3	83	389	399.240963855422	532.321285140562	2.52404591758386	FALSE
ANXA2	4	53	476	558	3	56	441	665.446428571429	887.261904761905	2.5175414862274	FALSE
ZNF706	7	11	389	515.818181818182	6	70	144	164.428571428571	191.833333333333	2.51052470041252	FALSE
RPL37	3	68	1570	1619.26470588235	2	61	1271	1295	1942.5	2.50951877538124	FALSE
RBM25	5	16	146	208.9375	2	32	71.5	210.34375	525.859375	2.50095221667189	FALSE
PRDX6	6	19	333	404.157894736842	3	43	239	359.744186046512	719.488372093023	2.49876594825485	FALSE
FOS	4	41	149	1568.85365853659	3	40	18	1412.175	1882.9	2.49699373838169	FALSE
RPS17	5	16	739	843.625	4	34	465	425.882352941176	532.352941176471	2.49314013821102	FALSE
RPL30	7	11	1969	2076.18181818182	6	70	2199.5	2044.87142857143	2385.68333333333	2.49066277943152	FALSE
KCTD12	2	54	246.5	395.925925925926	1	76	243	351.539473684211	703.078947368421	2.48735479180062	FALSE
BTF3	3	20	1106	1095.9	2	96	492.5	527.760416666667	791.640625	2.48324396881842	FALSE
SRP14	5	16	1517	1618.3125	3	59	1095	1153.35593220339	1922.25988700565	2.48279841416591	FALSE
COL14A1	6	79	448	556.101265822785	5	24	331.5	716.666666666667	860	2.48272889112635	FALSE
HSBP1	3	67	462	506.268656716418	1	15	236	269.466666666667	808.4	2.48019578157586	FALSE
RPL4	5	14	2875	2935.35714285714	4	53	1934	2106.64150943396	2633.30188679245	2.48008639729121	FALSE
PSME2	4	24	74	92.2083333333333	3	47	85	294.297872340426	392.397163120567	2.47739452784056	FALSE
DAD1	4	24	698.5	753.375	3	47	310	340.68085106383	454.241134751773	2.47586558273335	FALSE
HADHA	4	11	163	419.909090909091	2	36	17	62.6111111111111	125.222222222222	2.46936078402131	FALSE
RCN2	5	15	223	209.933333333333	3	72	233.5	302.763888888889	504.606481481482	2.46934056292017	FALSE
RBMX	2	34	108	225.235294117647	1	95	213	259.105263157895	518.210526315789	2.46683090713112	FALSE
NOP10	5	16	465.5	601.3125	4	50	231.5	247.92	309.9	2.46450817668789	FALSE
YWHAZ	6	70	718	797.9	5	45	997	907.533333333333	1089.04	2.4641018776678	FALSE
SOD1	3	11	7	100.090909090909	2	105	217	260.352380952381	390.528571428571	2.46305293256822	FALSE
CRABP2	4	47	1230	1494.55319148936	3	43	1273	1336.53488372093	1782.04651162791	2.45862775837983	FALSE
ENY2	7	11	878	872.636363636364	6	70	466	503.728571428571	587.683333333333	2.4547732797934	FALSE
HNRNPC	4	24	545	570.125	2	57	439	427.263157894737	854.526315789474	2.45393160133616	FALSE
MORF4L1	5	15	1329	1293.4	4	32	953.5	807.8125	1009.765625	2.45275886391628	FALSE
BTF3	3	20	1106	1095.9	1	14	325	271.571428571429	814.714285714286	2.44899325246271	FALSE
TOMM7	4	91	363	385.384615384615	3	30	476.5	499.733333333333	666.311111111111	2.44859270184007	FALSE
LRRC17	3	31	344	555.451612903226	2	90	103.5	184.011111111111	276.016666666667	2.44628071820137	FALSE
GOLGA8A	5	16	384	519.6875	4	50	226	638.8	798.5	2.44531224058569	FALSE
ILF2	6	19	440	339.684210526316	3	43	229	308.209302325581	616.418604651163	2.44206313908441	FALSE
DUSP1	3	42	1.5	702.404761904762	2	88	16.5	652.352272727273	978.528409090909	2.44110360114375	FALSE
RPL36A	2	34	311	382.5	1	95	307	329.105263157895	658.210526315789	2.440453347294	FALSE
MRPL13	7	23	344	328.391304347826	5	24	369	430.875	603.225	2.43906997780048	FALSE
SRSF10	3	47	19	126.382978723404	2	82	213.5	267.30487804878	400.957317073171	2.43865994574171	FALSE
PSMB4	8	20	320.5	396.7	3	52	174	251.596153846154	670.923076923077	2.43810399953678	FALSE
LAPTM4A	3	83	893	1007.84337349398	2	36	880.5	853.972222222222	1280.95833333333	2.43634548921972	FALSE
POLR2K	7	11	789	894.909090909091	6	70	453.5	533.328571428571	622.216666666667	2.43567307283194	FALSE
SRP9	2	78	294	387.923076923077	1	45	299	330.288888888889	660.577777777778	2.43561298978245	FALSE
SSR2	6	19	1280	1218.21052631579	3	43	680	745.348837209302	1490.6976744186	2.43534602353136	FALSE
COX6C	6	70	1081.5	1122.71428571429	5	45	1106	1162.28888888889	1394.74666666667	2.434620602681	FALSE
TSPAN3	5	15	254	314	3	72	221.5	350.097222222222	583.49537037037	2.43055130889244	FALSE
ZFAS1	4	82	725	844.841463414634	3	41	730	835.536585365854	1114.0487804878	2.43008685986589	FALSE
POSTN	3	41	674	799.414634146341	1	10	94.5	177.8	533.4	2.42490552894003	FALSE
SLC25A5	2	34	407	479.5	1	95	54	107	214	2.42406452541749	FALSE
SDCBP	6	65	355	482.046153846154	5	56	534	618.285714285714	741.942857142857	2.4148007706548	FALSE
LAPTM4A	4	11	1295	1087.27272727273	3	83	893	1007.84337349398	1343.79116465863	2.40911858569419	FALSE
TSPAN3	4	32	154	210.9375	3	72	221.5	350.097222222222	466.796296296296	2.40800035238992	FALSE
COX4I1	3	67	495	507.194029850746	1	15	217	254.2	762.6	2.40723104473857	FALSE
RAB2A	6	65	586	574.553846153846	5	56	660	690.839285714286	829.007142857143	2.40560808197597	FALSE
MMP16	7	11	108	199.909090909091	6	70	254	388.028571428571	452.7	2.40276145172014	FALSE
CPNE3	7	11	154	196.727272727273	5	45	260	321.066666666667	449.493333333333	2.40271875995439	FALSE
MDH1	3	83	374	388.168674698795	2	38	338	427.105263157895	640.657894736842	2.4022428407599	FALSE
MEST	3	31	951	1163.67741935484	2	90	713	941.522222222222	1412.28333333333	2.39551145567198	FALSE
RPS2	4	16	1043	1176.0625	3	73	971	1068.43835616438	1424.58447488584	2.39536479608633	FALSE
OST4	3	83	389	399.240963855422	2	36	378	431.555555555556	647.333333333333	2.39461340697838	FALSE
DNM3OS	4	47	399	548.595744680851	3	43	538	597.348837209302	796.46511627907	2.39422286574452	FALSE
PPIB	5	14	948.5	885.928571428571	4	53	456	510.905660377359	638.632075471698	2.39321796271239	FALSE
DDX3X	2	109	106	164.94495412844	1	16	43	206.0625	412.125	2.39301340849747	FALSE
COA5	5	26	22	94.8461538461538	3	10	56	205.2	342	2.39296737324468	FALSE
SNRPE	4	22	606	601.136363636364	1	37	152	211.72972972973	846.918918918919	2.39055105506231	FALSE
PSMB5	4	24	597.5	588.458333333333	3	47	165	257.595744680851	343.460992907801	2.38916136989602	FALSE
TMED10	5	16	729.5	759.3125	3	40	241.5	308.675	514.458333333333	2.38890749877672	FALSE
STX16	4	82	35.5	78.9512195121951	3	41	23	242.609756097561	323.479674796748	2.38832940437579	FALSE
ATRAID	4	11	275	297.454545454545	2	36	252	270.694444444444	541.388888888889	2.38727294879272	FALSE
UQCRB	7	11	758	699	5	45	557	673.422222222222	942.791111111111	2.38701786672219	FALSE
PDS5B	3	41	50	119.682926829268	2	74	125	241.5	362.25	2.38483184801129	FALSE
PAPOLA	5	17	195	291.058823529412	4	52	319	425.326923076923	531.658653846154	2.38129531671734	FALSE
UBXN4	4	105	226	455.942857142857	3	17	86	162.411764705882	216.549019607843	2.37911296662601	FALSE
MORF4L1	4	32	953.5	807.8125	3	72	779.5	784.958333333333	1046.61111111111	2.3780317965422	FALSE
RPS14	3	41	3891	3776.73170731707	2	89	2266	2358.62921348315	3537.94382022472	2.3780122927154	FALSE
MRPS21	4	36	306.5	339.138888888889	3	52	380	433.153846153846	577.538461538461	2.37730547256107	FALSE
RPL22	3	47	213	244.255319148936	2	82	286	321.085365853659	481.628048780488	2.37543082392431	FALSE
HNRNPC	3	47	315	403.765957446808	2	57	439	427.263157894737	640.894736842105	2.37498426580475	FALSE
ARPP19	5	14	248	328.571428571429	4	53	21	74.7169811320755	93.3962264150943	2.37139152601617	FALSE
EIF5	4	52	183	390.557692307692	3	54	33	117.111111111111	156.148148148148	2.36997529033001	FALSE
GNAS	4	82	1032	1284.03658536585	3	41	511	787.317073170732	1049.75609756098	2.36973611961897	FALSE
RSL24D1	5	14	503.5	655.428571428571	4	53	297	337.056603773585	421.320754716981	2.36941591475615	FALSE
PABPC1	7	11	1462	1607	6	70	1163.5	1178.15714285714	1374.51666666667	2.36639182388914	FALSE
DPT	6	19	334	570.842105263158	4	47	145	225.829787234043	338.744680851064	2.36567032111158	FALSE
NDUFAB1	4	16	99.5	191	2	41	210	211.536585365854	423.073170731707	2.3656249359033	FALSE
ARPP19	5	14	248	328.571428571429	3	56	6	58.2321428571429	97.0535714285714	2.36458449409917	FALSE
RTF1	5	16	59.5	86.3125	4	50	33.5	254.08	317.6	2.36415216183366	FALSE
IGFBP5	2	109	299	500.935779816514	1	16	332	365.5625	731.125	2.36208498165499	FALSE
CNN3	3	17	6	105.294117647059	2	112	157.5	221.151785714286	331.727678571429	2.35494079638578	FALSE
PSME2	4	24	74	92.2083333333333	2	57	62	159	318	2.35370790930078	FALSE
SEC22B	7	13	3	41.2307692307692	3	52	10.5	114.403846153846	266.942307692308	2.3535537609479	FALSE
RCN2	5	15	223	209.933333333333	4	32	240	348.375	435.46875	2.35321475044967	FALSE
DNM3OS	6	19	412	597.736842105263	4	47	399	548.595744680851	822.893617021277	2.35248501931749	FALSE
HMGCS1	3	68	35	214.294117647059	2	61	168	292.327868852459	438.491803278689	2.3506311251073	FALSE
CCT8	3	11	5	46	2	105	96	179.304761904762	268.957142857143	2.34822139036022	FALSE
CYCS	4	91	316	445.648351648352	3	30	389.5	501.233333333333	668.311111111111	2.3476475869835	FALSE
SUB1	3	68	813	820.279411764706	2	61	663	694.508196721311	1041.76229508197	2.34534016862636	FALSE
ERH	5	16	477	567.9375	2	32	287	315.65625	789.140625	2.34479125807872	FALSE
COX6C	7	11	1539	1531	6	70	1081.5	1122.71428571429	1309.83333333333	2.34471967248079	FALSE
SSR2	4	47	674	772.702127659574	3	43	680	745.348837209302	993.798449612403	2.34458151793431	FALSE
RPL36AL	4	24	435	517.708333333333	3	47	205	222.723404255319	296.964539007092	2.34388850329036	FALSE
MMP16	7	11	108	199.909090909091	5	45	257	300.155555555556	420.217777777778	2.34303162191135	FALSE
FLRT2	5	16	108.5	223	3	40	212	265.375	442.291666666667	2.34102212830567	FALSE
MRPS21	7	13	630	791.461538461538	3	52	380	433.153846153846	1010.69230769231	2.34090150770167	FALSE
YWHAQ	4	11	31	71.7272727272727	3	83	168	218.048192771084	290.730923694779	2.34045135493978	FALSE
NCOR1	3	29	93	323	2	97	14	69.8144329896907	104.721649484536	2.33901066324956	FALSE
ITM2A	2	34	2815	3747.38235294118	1	95	1605	1764.83157894737	3529.66315789474	2.33789671997015	FALSE
ZNF706	7	11	389	515.818181818182	5	45	189	213.155555555556	298.417777777778	2.33726034689082	FALSE
DNAJB6	5	37	227	442.351351351351	4	63	117	181.444444444444	226.805555555556	2.33353955639198	FALSE
COX4I1	2	48	263	293.583333333333	1	15	217	254.2	508.4	2.33206797330576	FALSE
ZC3H13	3	41	11	68.1951219512195	1	10	15	93.3	279.9	2.32573086503529	FALSE
TRPS1	7	23	161	327.608695652174	5	24	317.5	383.208333333333	536.491666666667	2.31990303597892	FALSE
CAPZA1	3	17	1	104.117647058824	2	112	178.5	208.517857142857	312.776785714286	2.31943741028293	FALSE
RSL1D1	4	16	330.5	440.6875	3	73	426	486.684931506849	648.913242009132	2.31853441836111	FALSE
CNIH1	5	13	0	103.307692307692	2	30	18.5	124.366666666667	310.916666666667	2.31724612292565	FALSE
HMGB1	3	41	559	719.243902439024	2	74	527	617.513513513514	926.27027027027	2.3160256627242	FALSE
APP	3	11	96	165.545454545455	2	105	130	246.904761904762	370.357142857143	2.31135473757929	FALSE
COL14A1	7	23	313	446.565217391304	6	79	448	556.101265822785	648.784810126582	2.30582323139638	FALSE
SNRPG	3	83	251	265.819277108434	2	38	241.5	311.447368421053	467.171052631579	2.30395546357595	FALSE
RPS7	4	11	1172	887.090909090909	2	36	521	544.027777777778	1088.05555555556	2.30311966341174	FALSE
TMED3	5	15	336	412.733333333333	4	32	122.5	169.5	211.875	2.30288985471646	FALSE
OGT	2	34	67.5	204.529411764706	1	95	117	202.347368421053	404.694736842105	2.30138884621109	FALSE
PAPOLA	5	17	195	291.058823529412	3	54	304.5	294.481481481481	490.802469135802	2.3004729721063	FALSE
TCF12	5	14	4	117.714285714286	3	56	125.5	190.339285714286	317.232142857143	2.29998177175982	FALSE
CCT7	3	83	42	84.3614457831325	2	38	148	188.710526315789	283.065789473684	2.29820736092068	FALSE
MRPS21	7	13	630	791.461538461538	4	36	306.5	339.138888888889	593.493055555556	2.29659605496093	FALSE
CNIH1	5	13	0	103.307692307692	4	42	137.5	240.690476190476	300.863095238095	2.29568891167261	FALSE
SEC22B	8	20	102.5	107.6	3	52	10.5	114.403846153846	305.076923076923	2.29551635178061	FALSE
RBM25	4	41	104	224.19512195122	2	32	71.5	210.34375	420.6875	2.29334570872897	FALSE
GOLGA8B	5	16	92.5	162.5	3	59	105	215.169491525424	358.61581920904	2.29251262639651	FALSE
POGZ	8	20	66.5	166.3	3	52	11	135.788461538462	362.102564102564	2.29181837474139	FALSE
RHOB	4	11	0	42.8181818181818	2	36	33	118.972222222222	237.944444444444	2.29031572631952	FALSE
SRP14	5	16	1517	1618.3125	4	50	1137	1138.62	1423.275	2.29011812150255	FALSE
SF3B6	3	83	360	395.277108433735	2	36	328	392.472222222222	588.708333333333	2.28652658198586	FALSE
ZNF106	5	16	53.5	178.75	4	50	159	297.68	372.1	2.28634417640908	FALSE
PSMB5	3	47	165	257.595744680851	2	57	259	300.157894736842	450.236842105263	2.28474894364339	FALSE
NDUFA4	5	90	496	477.533333333333	4	28	498.5	535.714285714286	669.642857142857	2.28354889549885	FALSE
RPL21	2	74	1585	1701.13513513514	1	10	812.5	755.2	1510.4	2.28043070138267	FALSE
NFKBIA	4	24	63	149.458333333333	2	57	32	169.929824561404	339.859649122807	2.27966994529916	FALSE
WDR61	5	15	91	148.533333333333	3	72	113.5	202.486111111111	337.476851851852	2.27633199855564	FALSE
RBBP6	4	16	41.5	286.25	2	41	0	49.0243902439024	98.0487804878049	2.27462243325543	FALSE
PPIB	5	14	948.5	885.928571428571	3	56	602	644.285714285714	1073.80952380952	2.27388275298419	FALSE
TNPO1	3	20	312.5	385.4	1	14	0	65.8571428571429	197.571428571429	2.27376165539533	FALSE
SREK1	3	20	159.5	240.15	2	96	105.5	285.3125	427.96875	2.27373894583777	FALSE
ENY2	7	11	878	872.636363636364	5	45	424	489.155555555556	684.817777777778	2.27373856629238	FALSE
DCAF13	6	70	207.5	247.942857142857	5	45	226	362.222222222222	434.666666666667	2.27119969923199	FALSE
PPP1CB	4	11	556	587.272727272727	2	36	243.5	386.555555555556	773.111111111111	2.26913541992432	FALSE
N4BP2L2	3	41	166	209.463414634146	2	74	109.5	263.216216216216	394.824324324324	2.26801815216115	FALSE
HSPH1	2	74	170	295.486486486487	1	10	239	240.1	480.2	2.26649866928791	FALSE
MFAP2	3	47	775	888.127659574468	2	82	663	715.158536585366	1072.73780487805	2.26625556412376	FALSE
OXR1	6	70	84	147.442857142857	5	45	220	276.4	331.68	2.26537718998549	FALSE
ERH	3	40	253	289.55	2	32	287	315.65625	473.484375	2.26466290094944	FALSE
HSBP1	2	48	349.5	355	1	15	236	269.466666666667	538.933333333333	2.2646604414235	FALSE
SLIRP	4	41	396	434.926829268293	2	32	291	309.15625	618.3125	2.26336539804462	FALSE
PSMA4	5	15	358	378.733333333333	3	72	279	337.097222222222	561.828703703704	2.26267736315467	FALSE
POGZ	7	13	55	134.461538461538	3	52	11	135.788461538462	316.839743589744	2.26097293729225	FALSE
HMGN1	3	11	141	379	1	14	0	65.7857142857143	197.357142857143	2.25921832449747	FALSE
SRRM2	4	16	92	338	2	41	50	78.8048780487805	157.609756097561	2.2562130457674	FALSE
COX7C	3	20	798.5	842.3	1	14	243	220.785714285714	662.357142857143	2.25513461195025	FALSE
SERF2	5	16	3620	3653.25	4	50	3002	2778.98	3473.725	2.25412493539921	FALSE
SEC22B	7	13	3	41.2307692307692	4	36	108.5	126.083333333333	220.645833333333	2.25385890460528	FALSE
GOLGA8A	4	50	226	638.8	3	59	114	344.610169491525	459.480225988701	2.25362818287216	FALSE
ARGLU1	3	96	217.5	391.09375	2	22	66	141.363636363636	212.045454545455	2.25297019087035	FALSE
ANKRD36B	5	26	5	49.4230769230769	3	10	12	136.4	227.333333333333	2.25020098559928	FALSE
RSL24D1	5	14	503.5	655.428571428571	3	56	262.5	286.607142857143	477.678571428571	2.2498096094018	FALSE
MAP3K2	4	105	24	99.6190476190476	3	17	8	207.882352941176	277.176470588235	2.24933883314099	FALSE
LITAF	4	16	135.5	256.375	2	41	187	216.90243902439	433.80487804878	2.24902675404772	FALSE
RPL7P9	3	17	40	56.5882352941176	2	112	134.5	155.669642857143	233.504464285714	2.24776767371365	FALSE
RHOB	4	11	0	42.8181818181818	3	83	47	164.518072289157	219.357429718875	2.24684127205717	FALSE
ITGB1	2	95	64	144.157894736842	1	35	68	160.285714285714	320.571428571429	2.24653189964057	FALSE
CSDE1	3	17	5	134	2	112	153	206.767857142857	310.151785714286	2.24588705013963	FALSE
COX5B	5	26	417.5	443.076923076923	3	10	398	371.3	618.833333333333	2.24491117373862	FALSE
ERH	4	41	430	455.926829268293	2	32	287	315.65625	631.3125	2.24399410797893	FALSE
QPRT	4	16	318.5	319.375	3	73	77	108.369863013699	144.493150684931	2.24274473714384	FALSE
COX7C	3	20	798.5	842.3	2	96	426.5	445.0625	667.59375	2.24230844185734	FALSE
EIF3H	7	23	964	893.173913043478	5	24	488	513.541666666667	718.958333333333	2.24108699039377	FALSE
SRSF5	5	16	146.5	252.5	4	41	178	341.19512195122	426.493902439024	2.24053402883728	FALSE
MFAP4	3	29	345	454.896551724138	2	97	299	419.154639175258	628.731958762887	2.24013823882974	FALSE
PUM1	3	47	52	311.191489361702	2	82	37.5	91.5731707317073	137.359756097561	2.24012906051028	FALSE
SHC1	6	19	269	368.473684210526	4	47	77	129.872340425532	194.808510638298	2.23971273472883	FALSE
CKS1B	6	19	136	407.052631578947	4	47	276	386.617021276596	579.925531914894	2.23772691833472	FALSE
GLUL	4	71	288	496.591549295775	3	50	73	243.62	324.826666666667	2.23493437696114	FALSE
PHF14	5	90	80	310.877777777778	4	28	47	111.785714285714	139.732142857143	2.23336582690915	FALSE
DCAF13	7	11	330	460.272727272727	6	70	207.5	247.942857142857	289.266666666667	2.23301150244553	FALSE
NPC2	5	16	373	408	2	32	200	231.5	578.75	2.23236071235357	FALSE
SF3B6	4	11	205	356.454545454545	3	83	360	395.277108433735	527.036144578313	2.23193218140351	FALSE
ASH1L	6	19	43	149.157894736842	3	43	7	159.720930232558	319.441860465116	2.2311737558688	FALSE
RAD21	6	79	208	357.189873417722	5	24	236	439.416666666667	527.3	2.23073016774483	FALSE
PRDX1	3	49	263	303.571428571429	2	80	262.5	315.2625	472.89375	2.22871421407027	FALSE
DLK1	5	17	1353	2283.23529411765	3	54	753	1268.55555555556	2114.25925925926	2.22782511486941	FALSE
THBS1	5	16	143	378.25	4	50	101.5	167.42	209.275	2.22782245511553	FALSE
PIK3R1	3	20	275	373.1	2	96	34	136.104166666667	204.15625	2.22774212987404	FALSE
PSMB4	8	20	320.5	396.7	7	13	177	199.615384615385	228.131868131868	2.22677547383564	FALSE
MRPL13	6	79	310	348.493670886076	5	24	369	430.875	517.05	2.22674506446688	FALSE
NR2F2	5	21	24	119	3	23	43	172.478260869565	287.463768115942	2.22650651055271	FALSE
COA5	4	90	65	105.355555555556	3	10	56	205.2	273.6	2.2259407324089	FALSE
SLIRP	3	40	261	296	2	32	291	309.15625	463.734375	2.22462207478838	FALSE
NPC2	4	41	228	295.292682926829	2	32	200	231.5	463	2.22455201129528	FALSE
RTF1	4	50	33.5	254.08	3	59	22	64.8135593220339	86.4180790960452	2.22443443756652	FALSE
CCNI	3	85	153	175.564705882353	2	41	175	227.707317073171	341.560975609756	2.22009832867254	FALSE
CKS1B	6	19	136	407.052631578947	3	43	234	286.46511627907	572.93023255814	2.21978774571156	FALSE
NPC2	3	40	179.5	181.725	2	32	200	231.5	347.25	2.21886359655335	FALSE
HNRNPA2B1	3	78	477	711.435897435897	2	51	427	584.470588235294	876.705882352941	2.21819398745817	FALSE
NOP10	5	16	465.5	601.3125	3	59	225	261.64406779661	436.073446327684	2.21811269909765	FALSE
PRDX6	4	47	280	314.978723404255	3	43	239	359.744186046512	479.658914728682	2.21664136288638	FALSE
TMEM59	3	49	261	345.959183673469	2	80	319.5	339.825	509.7375	2.21425640216736	FALSE
POMP	3	41	359	433.536585365854	1	10	72	90.2	270.6	2.21201861063483	FALSE
LY6E	7	23	406	340.695652173913	5	24	288.5	359.125	502.775	2.20972768050818	FALSE
TNPO1	2	96	107	293.385416666667	1	14	0	65.8571428571429	131.714285714286	2.20863247638497	FALSE
PDIA3	4	50	823.5	816.06	3	59	661	732.830508474576	977.107344632768	2.20695356851713	FALSE
RIT1	4	47	60	87.1702127659574	3	43	1	185.813953488372	247.751937984496	2.20569611947107	FALSE
UQCRC2	4	16	0	96.25	2	41	77	128.365853658537	256.731707317073	2.20542553603053	FALSE
VCAN	2	96	58.5	175.822916666667	1	14	105	168.142857142857	336.285714285714	2.20537435972191	FALSE
DNAJB6	5	37	227	442.351351351351	3	24	138	169.458333333333	282.430555555556	2.20390494224602	FALSE
CCT3	6	19	288	284.526315789474	4	47	308	296.148936170213	444.223404255319	2.20329699832544	FALSE
MCL1	8	20	340	480.6	3	52	150	240.019230769231	640.051282051282	2.20262801549217	FALSE
TTC3	3	11	201	227.909090909091	2	105	174	257.47619047619	386.214285714286	2.19949516652511	FALSE
PDS5B	3	41	50	119.682926829268	1	10	0	92.2	276.6	2.1956701990391	FALSE
ISLR	5	15	121	154.733333333333	3	72	106.5	186.944444444444	311.574074074074	2.19545888475579	FALSE
COMMD6	2	54	82	125.777777777778	1	76	113.5	141.223684210526	282.447368421053	2.19498470867386	FALSE
SAP18	3	41	441	496.268292682927	1	10	168.5	217.6	652.8	2.19460232218968	FALSE
ATRX	2	34	181.5	278.529411764706	1	95	113	217.494736842105	434.989473684211	2.19440349778329	FALSE
MTDH	7	11	263	226.545454545455	6	70	246.5	327.885714285714	382.533333333333	2.19309085232842	FALSE
FLRT2	4	41	131	197.975609756098	3	40	212	265.375	353.833333333333	2.19272832874222	FALSE
CPNE3	7	11	154	196.727272727273	6	70	172	301.657142857143	351.933333333333	2.19090867591945	FALSE
RBBP6	3	73	63	228.315068493151	2	41	0	49.0243902439024	73.5365853658537	2.18971058613636	FALSE
