gene_name	CN_high	n_cells_high	median_SCT_count_high	mean_SCT_count_high	CN_low	n_cells_low	median_SCT_count_low	mean_SCT_count_low	mean_expected_high	log10_abs_diff	highlight
ZFHX3	3	67	75	140.910447761194	2	48	10.5	98.7708333333333	148.15625	0.86008647657026	FALSE
SARAF	3	92	84.5	140.445652173913	2	37	11	98.3783783783784	147.567567567568	0.852596810072968	FALSE
PPP2CA	3	41	77	134.512195121951	2	89	4	94.1797752808989	141.269662921348	0.829783984880942	FALSE
PGRMC1	2	34	74	234.617647058824	1	95	48	114.031578947368	228.063157894737	0.816538849822695	FALSE
PRRX1	6	19	107	198.210526315789	3	43	18	102.372093023256	204.744186046512	0.815156512919073	FALSE
MAF	3	67	101	201.761194029851	1	15	50	65.1333333333333	195.4	0.803538642677354	FALSE
UBE2V1	4	82	40	52.3780487804878	3	41	20	34.780487804878	46.3739837398374	0.77844538820857	FALSE
PXDN	3	68	47.5	255.779411764706	2	58	69.5	166.534482758621	249.801724137931	0.776533216572694	FALSE
SRP19	3	41	67	78.3658536585366	2	88	22.5	56.2272727272727	84.3409090909091	0.77634193871839	FALSE
TACC1	5	82	48	122.024390243902	4	41	33	102.341463414634	127.926829268293	0.771031509260696	FALSE
RBBP4	3	47	23	150.702127659574	2	82	40	104.378048780488	156.567073170732	0.768263981615458	FALSE
PDIA3P1	4	36	22	34.1666666666667	3	52	15	21.25	28.3333333333333	0.765916793966632	FALSE
PFDN1	3	41	43	90.219512195122	2	89	5	56.2808988764045	84.4213483146067	0.763290486182418	FALSE
ASAP1	6	79	11	55.6962025316456	5	24	6	41.625	49.95	0.759380929143915	FALSE
DNAJC8	3	47	117	240.851063829787	2	82	119	164.30487804878	246.457317073171	0.748672711640459	FALSE
TGFBI	3	41	93	181.829268292683	2	89	11	117.483146067416	176.224719101124	0.748540685353472	FALSE
ACTR10	5	13	91	236.307692307692	4	42	140	193.47619047619	241.845238095238	0.743317330237223	FALSE
STAG2	2	34	66.5	141.441176470588	1	95	4	67.9894736842105	135.978947368421	0.737369911790597	FALSE
AHSA1	4	41	19	71.4878048780488	3	40	0	49.525	66.0333333333333	0.736752680436471	FALSE
TLK1	4	99	126	194.454545454545	3	23	102	149.913043478261	199.884057971014	0.734760838629107	FALSE
GOLGA7	5	82	50	77.4634146341463	4	41	20	66.219512195122	82.7743902439024	0.725174306959965	FALSE
NSA2	2	96	53	92.4375	1	14	0	43.5714285714286	87.1428571428571	0.723836670694081	FALSE
RANBP2	4	104	27	86.6153846153846	3	16	0	61	81.3333333333333	0.722802613342654	FALSE
JTB	4	47	118	147	3	43	98	114.209302325581	152.279069767442	0.722557401613536	FALSE
IK	3	41	53	87.1951219512195	2	89	36	61.6404494382022	92.4606741573034	0.721443923000996	FALSE
VPS13B	6	70	61.5	127.614285714286	5	45	44	110.688888888889	132.826666666667	0.717036149072566	FALSE
TRA2A	4	91	87	147.813186813187	3	30	90.5	107.133333333333	142.844444444444	0.696246478988596	FALSE
TCEA1	6	65	97	214.138461538462	5	56	127.5	174.428571428571	209.314285714286	0.68342312792103	FALSE
LAPTM4B	7	11	191	192.181818181818	6	70	78.5	168.757142857143	196.883333333333	0.672237840042298	FALSE
