method	overall_sphase_fraction	Normal	Tumor
Published	0.258882172022484	0.128695652173913	0.271989727426604
RNA + 2019 gene list (this script's primary reproduction)	0.258882172022484	0.128695652173913	0.271989727426604
RNA + 2015 gene list	0.254189203521052	0.129565217391304	0.266736706939824
SCT + 2019 gene list	0.233587867218157	0.0930434782608696	0.24773828284597
